Dia,Hora,Velocidade do vento (km/h),Rajada (km/h),Direção do vento,Ângulo do vento (graus)
1,6,17,17,ENE,67.5
1,9,18,18,E,90.0
1,12,19,19,E,90.0
1,15,19,19,E,90.0
1,18,20,20,E,90.0
1,21,20,20,E,90.0
2,6,20,20,E,90.0
2,9,19,19,E,90.0
2,12,16,16,E,90.0
2,15,19,19,E,90.0
2,18,21,21,E,90.0
2,21,21,21,E,90.0
3,6,15,15,ENE,67.5
3,9,17,17,NE,45.0
3,12,8,8,NE,45.0
3,15,20,20,E,90.0
3,18,16,16,E,90.0
3,21,15,15,ENE,67.5
4,6,3,3,WSW,247.5
4,9,3,3,WSW,247.5
4,12,7,7,WSW,247.5
4,15,7,7,SSW,202.5
4,18,10,10,E,90.0
4,21,11,11,ENE,67.5
5,6,4,4,NE,45.0
5,9,5,5,ENE,67.5
5,12,4,4,NE,45.0
5,15,8,8,E,90.0
5,18,15,15,E,90.0
5,21,15,15,E,90.0
